Budget Item Code,Georgian Name,Budget Item Type,English Translation
06 02,არჩევნების ჩატარების ღონისძიებები,Program,Organization Of Elections
19 00,"სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია გორის, კასპის, ქარელისა და ხაშურის მუნიციპალიტეტებში",SpendingAgency,"Administration of the State Representative – Governor in GORI, KASPI, KARELI and KHASHURI Municipalities"
37 01 04,ქართული აგროსასურსათო პროდუქციის პოპულარიზაცია,Program,Modernization Of Melioration Systems
32 05 01,ზოგადსაგანმანათლებლო დაწესებულებებისა და მოსწავლეების ინფორმაციულ საკომუნიკაციო ტექნოლოგიებით უზრუნველყოფა,Program,Provision Of Information And Communication Technologies For General Education Institutions And School Children 
35 03 04 06,იშვიათი დაავადებების მქონე და მუდმივ ჩანაცვლებით მკურნალობას დაქვემდებარებულ პაციენტთა მკურნალობა,Program,Treatment Of People with Rare Diseases And Permanent Treating Submission
35 03 03 10,ნარკომანია,Program,Heart Surgery
35 01 01,შრომის ჯანმრთელობისა და სოციალური დაცვის სფეროში პოლიტიკის შემუშავება და მართვა,Program,"Policy-Making And Management In The Areas Of Labor, Healthcare And Social Security"
32 02 05,განსაკუთრებული საჭიროების მქონე ბავშვების საგანმანათლებლო და საცხოვრებელი პირობებით უზრუნველყოფა და ინკლუზიური განათლების განვითარება,Program,Provision Of Education And Living Standards To Children With Special Needs And Development Of Inclusive Education
27 02 03,უფასო იურიდიული დახმარება,Program,Free Legal Assistance
32 04 03,მეცნიერებისა და სამეცნიერო კვლევების ხელშეწყობა,Program,Support Of Science And Science Research
32 02 10,ეროვნული სასწავლო გეგმების დანერგვა და მონიტორინგი,Program,Development Of Civic Education Among The Youth
33 03,სახელოვნებო განათლების სისტემის ხელშეწყობა,Program,Stimulation Of Arts Education System
23 03,ეკონომიკური დანაშაულის პრევენცია,Program,Prevention Of Economic Crime
24 03,ინვესტიციების მოზიდვის ხელშეწყობა,Program,Stimulated Attraction Of Investments
37 01 05,სასოფლო-სამეურნეო კოოპერატივების ხელშეწყობის ღონისძიებები,Program,"Promotion Of Georgian Agriculture Produce, Wine And Cuisine"
50 00,სსიპ - საჯარო სამსახურის ბიურო,SpendingAgency,NNLP - Civil Service Bureau
35 03 03 19,ზოგადი ამბულატორია,Program,General Out-Patient Care
44 00,სამხრეთ ოსეთის ადმინისტრაცია,SpendingAgency,Administration Of South Ossetia
58 07,წინა წლებში წარმოქმნილი დავალიანების დაფარვისა და სასამართლო გადაწყვეტილებების აღსრულების ფონდი,Program,"Repayment of Debt Accumulated In Previous Years and court decisions execution fund
"
35 01 02,სამედიცინო საქმიანობის რეგულირების პროგრამა,Program,Program For Regulation Of Medical Operation
32 07,ათასწლეულის გამოწვევა საქართველოს,Program,NNLP - Civil Service Bureau
24 02,ტექნიკური და სამშენებლო სფეროს რეგულირება,Program,Technical And Construction Sector Regulation
04 00,საქართველოს მთავრობის კანცელარია,SpendingAgency,State Chancellery Of The Government Of Georgia
